Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
Brandy Rivera,21.0,31,97.0,89.0
Donald George,23.0,53,74.0,52.0
Donna Miller,20.0,37,35.0,61.0
Tyrone Parker,20.0,38,91.0,91.0
Christian Kirby,25.0,34,86.0,40.0
Ryan Li,20.0,60,32.0,47.0
Patrick Smith,25.0,78,39.0,58.0
Lisa Krause,21.0,43,41.0,86.0
Matthew Young,23.0,54,50.0,34.0
Ashley Chase,23.0,32,71.0,98.0
James Dillon,22.0,38,98.0,97.0
Lynn Morgan,20.0,96,100.0,84.0
Jamie English,18.0,73,51.0,52.0
Bobby Sanchez,19.0,84,63.0,81.0
Robert Brooks,25.0,33,80.0,43.0
Mark Hardin,19.0,62,80.0,42.0
Lisa Banks,23.0,73,87.0,79.0
John Gray,18.0,80,64.0,58.0
Julie May,19.0,31,51.0,31.0
Jill Murillo,21.0,95,93.0,57.0
Katherine Glenn,18.0,72,57.0,79.0
Tiffany White,18.0,61,84.0,36.0
Jason Lewis,24.0,38,46.0,48.0
Catherine Giles,18.0,38,99.0,80.0
Alicia Jones,18.0,75,82.0,80.0
Carolyn Lopez,18.0,67,92.0,100.0
Theodore Mcdonald,19.0,37,65.0,91.0
Ricardo Carter,20.0,96,75.0,68.0
Brian Ramirez,22.0,60,83.0,77.0
David Montgomery,23.0,63,58.0,53.0
Crystal Allen,21.0,51,44.0,63.0
Erica Case,21.0,50,93.0,41.0
Marissa Ray,21.0,64,97.0,63.0
Lisa Turner,25.0,77,36.0,71.0
Hailey Johnston,24.0,60,40.0,71.0
Hannah Atkins,23.0,39,75.0,42.0
Terry Martinez,21.0,53,76.0,61.0
Julia Cox MD,19.0,46,46.0,82.0
William Cameron,19.0,83,81.0,58.0
Linda Massey,25.0,61,98.0,69.0
Mr. Mark Miles,20.0,70,95.0,85.0
Christian Johnston,20.0,92,98.0,89.0
Julie Davis,25.0,78,63.0,62.0
Rachael Butler,22.0,64,93.0,76.0
Mallory Smith,19.0,54,37.0,81.0
James Jones,19.0,60,94.0,50.0
Wendy Alvarado,21.0,36,69.0,56.0
Jennifer Jensen,23.0,47,40.0,33.0
Jennifer Hughes,20.0,40,53.0,67.0
Jackie Cooper,19.0,46,62.0,82.0
Andrea Lucas,25.0,41,89.0,99.0
Katherine Villanueva,19.0,79,83.0,97.0
Jason Watkins,20.0,85,52.0,94.0
Vincent Kirby PhD,19.0,43,92.0,46.0
James Diaz,18.0,67,71.0,46.0
Mr. Joseph Burgess,18.0,90,56.0,76.0
Max Jackson,18.0,34,90.0,84.0
Jennifer Smith DVM,23.0,41,94.0,59.0
Amy Yoder,24.0,51,96.0,31.0
Trevor Goodwin,21.0,40,99.0,71.0
Angel Osborne,20.0,67,37.0,49.0
Tamara Freeman,20.0,93,64.0,40.0
Eric Rivera,25.0,83,60.0,57.0
Morgan Mann,24.0,72,78.0,82.0
Angelica Mays,19.0,37,58.0,90.0
Allen Chen,18.0,77,80.0,66.0
Janet Snyder MD,19.0,90,46.0,95.0
Carolyn Jensen,25.0,98,59.0,81.0
Jennifer Jensen,24.0,100,53.0,49.0
Robert Ward,18.0,50,63.0,58.0
Mary Edwards,19.0,72,50.0,100.0
Stephanie Wilkins,20.0,62,71.0,44.0
Michelle Johnson,20.0,94,88.0,93.0
Jasmine Martin,25.0,90,99.0,70.0
Jane Davila,21.0,58,49.0,37.0
Alexandra Moran,22.0,40,79.0,98.0
Christopher Ferguson,23.0,96,33.0,38.0
Christopher Roberts,23.0,49,71.0,58.0
James Wells,23.0,53,92.0,36.0
Douglas Huber,25.0,66,31.0,47.0
Joseph Johnson,19.0,78,48.0,88.0
Jillian Mccarthy,22.0,82,49.0,95.0
John Stewart,23.0,88,39.0,91.0
Ashley Gonzalez,23.0,73,32.0,99.0
Lisa Lee,20.0,50,80.0,43.0
Anthony Benitez,19.0,62,93.0,75.0
Heidi Deleon,18.0,75,60.0,66.0
Michael Hayes,18.0,34,79.0,81.0
Megan Chaney,20.0,37,92.0,99.0
Amber Wiley,18.0,56,66.0,46.0
