,Nombre,Edad,Notas_Matematicas,Notas_Ingles,Notas_Computacion
0,Brandy Rivera,21.0,31,97.0,89.0
1,Donald George,23.0,53,74.0,52.0
2,Donna Miller,20.0,37,35.0,61.0
3,Tyrone Parker,20.0,38,91.0,91.0
4,Christian Kirby,25.0,34,86.0,40.0
5,Ryan Li,20.0,60,32.0,47.0
6,Patrick Smith,25.0,78,39.0,58.0
7,Lisa Krause,21.0,43,41.0,86.0
8,Matthew Young,23.0,54,50.0,34.0
9,Ashley Chase,23.0,32,71.0,98.0
10,James Dillon,22.0,38,98.0,97.0
11,Lynn Morgan,20.0,96,100.0,84.0
12,Jamie English,18.0,73,51.0,52.0
13,Bobby Sanchez,19.0,84,63.0,81.0
14,Robert Brooks,25.0,33,80.0,43.0
15,Mark Hardin,19.0,62,80.0,42.0
16,Lisa Banks,23.0,73,87.0,79.0
17,John Gray,18.0,80,64.0,58.0
18,Julie May,19.0,31,51.0,31.0
19,Jill Murillo,21.0,95,93.0,57.0
20,Katherine Glenn,18.0,72,57.0,79.0
21,Tiffany White,18.0,61,84.0,36.0
22,Jason Lewis,24.0,38,46.0,48.0
23,Catherine Giles,18.0,38,99.0,80.0
24,Alicia Jones,18.0,75,82.0,80.0
25,Carolyn Lopez,18.0,67,92.0,100.0
26,Theodore Mcdonald,19.0,37,65.0,91.0
27,Ricardo Carter,20.0,96,75.0,68.0
28,Brian Ramirez,22.0,60,83.0,77.0
29,David Montgomery,23.0,63,58.0,53.0
30,Crystal Allen,21.0,51,44.0,63.0
31,Erica Case,21.0,50,93.0,41.0
32,Marissa Ray,21.0,64,97.0,63.0
33,Lisa Turner,25.0,77,36.0,71.0
34,Hailey Johnston,24.0,60,40.0,71.0
35,Hannah Atkins,23.0,39,75.0,42.0
36,Terry Martinez,21.0,53,76.0,61.0
37,Julia Cox MD,19.0,46,46.0,82.0
38,William Cameron,19.0,83,81.0,58.0
39,Linda Massey,25.0,61,98.0,69.0
40,Mr. Mark Miles,20.0,70,95.0,85.0
41,Christian Johnston,20.0,92,98.0,89.0
42,Julie Davis,25.0,78,63.0,62.0
43,Rachael Butler,22.0,64,93.0,76.0
44,Mallory Smith,19.0,54,37.0,81.0
45,James Jones,19.0,60,94.0,50.0
46,Wendy Alvarado,21.0,36,69.0,56.0
47,Jennifer Jensen,23.0,47,40.0,33.0
48,Jennifer Hughes,20.0,40,53.0,67.0
49,Jackie Cooper,19.0,46,62.0,82.0
50,Andrea Lucas,25.0,41,89.0,99.0
51,Katherine Villanueva,19.0,79,83.0,97.0
52,Jason Watkins,20.0,85,52.0,94.0
53,Vincent Kirby PhD,19.0,43,92.0,46.0
54,James Diaz,18.0,67,71.0,46.0
55,Mr. Joseph Burgess,18.0,90,56.0,76.0
56,Max Jackson,18.0,34,90.0,84.0
57,Jennifer Smith DVM,23.0,41,94.0,59.0
58,Amy Yoder,24.0,51,96.0,31.0
59,Trevor Goodwin,21.0,40,99.0,71.0
60,Angel Osborne,20.0,67,37.0,49.0
61,Tamara Freeman,20.0,93,64.0,40.0
62,Eric Rivera,25.0,83,60.0,57.0
63,Morgan Mann,24.0,72,78.0,82.0
64,Angelica Mays,19.0,37,58.0,90.0
65,Allen Chen,18.0,77,80.0,66.0
66,Janet Snyder MD,19.0,90,46.0,95.0
67,Carolyn Jensen,25.0,98,59.0,81.0
68,Jennifer Jensen,24.0,100,53.0,49.0
69,Robert Ward,18.0,50,63.0,58.0
70,Mary Edwards,19.0,72,50.0,100.0
71,Stephanie Wilkins,20.0,62,71.0,44.0
72,Michelle Johnson,20.0,94,88.0,93.0
73,Jasmine Martin,25.0,90,99.0,70.0
74,Jane Davila,21.0,58,49.0,37.0
75,Alexandra Moran,22.0,40,79.0,98.0
76,Christopher Ferguson,23.0,96,33.0,38.0
77,Christopher Roberts,23.0,49,71.0,58.0
78,James Wells,23.0,53,92.0,36.0
79,Douglas Huber,25.0,66,31.0,47.0
80,Joseph Johnson,19.0,78,48.0,88.0
81,Jillian Mccarthy,22.0,82,49.0,95.0
82,John Stewart,23.0,88,39.0,91.0
83,Ashley Gonzalez,23.0,73,32.0,99.0
84,Lisa Lee,20.0,50,80.0,43.0
85,Anthony Benitez,19.0,62,93.0,75.0
86,Heidi Deleon,18.0,75,60.0,66.0
87,Michael Hayes,18.0,34,79.0,81.0
88,Megan Chaney,20.0,37,92.0,99.0
89,Amber Wiley,18.0,56,66.0,46.0
90,Jeremy Brock,22.0,93,75.0,35.0
91,Sara Simon,21.0,99,53.0,62.0
92,Amber Johnson,21.0,30,44.0,84.0
93,Megan Johnson,22.0,94,71.0,46.0
94,Jamie Smith,23.0,68,39.0,41.0
95,Elizabeth Li,18.0,50,98.0,95.0
96,Kim Adams,19.0,39,87.0,99.0
97,Sandra Reyes,18.0,83,49.0,46.0
98,Thomas Snyder,19.0,48,33.0,58.0
99,Tiffany Pace,18.0,93,81.0,51.0
100,Erica Wood,18.0,53,96.0,30.0
101,Kristina Morton,24.0,73,36.0,53.0
